x, y
1.13241328,8.369399562
1.13241328,8.369399562
1.29067679,9.688604446
1.489069681,10.34831258
1.666480204,10.34831258
1.825731394,13.64653616
2.080891471,12.98693372
2.328813308,16.285263
2.610239346,17.93449186
3.034456977,20.90290284
3.427124484,22.88181586
3.835438452,25.520437
4.4317274,28.8188297
4.944665935,31.78730469
5.491855481,35.74523611
6.211960026,40.69267682
6.930948555,46.6296268
7.984164953,53.88577284
8.989946296,60.48243963
9.98479705,68.39830248
10.98898892,74.33525246
12.09417446,81.26165888
13.37139139,90.167031
14.2481112,94.66087705
15.19385319,103.0303346
16.79841467,114.9041817
18.40369464,126.7780288
20.53377647,141.6203509
21.98854418,155.4731637
23.87093558,170.315433
25.44574104,183.1787894
27.12443905,200.0000244
28.52074716,212.8633808
30.12609243,228.6951593
31.3891382,243.537455
33.0049839,257.3902678
34.86275007,279.1589699
36.82506721,296.9697406
38.54445494,314.7804849
40.52864103,334.5702213
41.46399239,348.4230341
43.20238313,366.2338048
44.80869624,386.0235412
46.2631435,404.8237947
47.9832825,424.6135047
49.76735481,442.4242754
51.38275537,460.235046
53.2932239,484.9721967
55.02307078,504.7619331
56.80908644,528.1797467
58.6530346,552.2572952
60.00670398,575.0154933
61.67236737,596.7841954
63.19179923,619.2125197
65.14377052,640.9812234
66.95206116,662.7499271
69.65300851,689.7958731
71.15219353,710.2452926
71.88653322,725.5411255
72.84969631,738.8167212
73.82580021,753.2467532
74.4743387,766.3162033
75.41483558,781.5295463
76.54163153,795.3411416
77.65571279,809.8123922
79.14640792,827.6643827
81.09628239,850.7523838
82.08916047,870.5421217
84.11153348,889.6722174
85.14132788,910.7812659
86.70970761,924.6340797
88.30697831,939.8061777
89.933716,961.5748814
91.59037583,982.6839827
93.27755281,1002.473721
94.81534131,1013.564178
96.45186674,1026.22139
98.15392153,1040.115423
100.955222,1053.927018
102.971468,1064.935065
105.3479379,1075.03604
111.6167234,1083.611611
117.5411853,1073.057074
123.0292046,1055.246328
125.6773,1037.435556
129.1659081,1018.3055
133.561533,1001.154384
136.0218565,978.0663693
138.5275012,956.2976656
140.6507951,937.167583
144.5549739,918.037474
146.3247895,903.5250313
148.5675971,889.6722174
152.2277527,864.6052109
155.5043211,838.2188937
159.8208813,808.5343002
163.7582761,786.1059676
166.2682162,768.2951692
169.8469932,751.1440789
174.5616839,724.0980536
178.8622375,699.6907552
184.3872258,671.9851275
188.3559986,652.8550185
191.2429505,639.0022575
196.55156,613.2755957
201.3938627,594.8051948
206.9842459,573.69612
215.9903413,548.6291134
221.3115436,532.1376784
228.843074,509.0496905
234.4809201,495.1968767
239.5277988,480.0246994
248.433712,458.2560221
260.0333808,435.1679814
266.4396406,421.3151676
274.6697286,406.8027513
288.3704102,385.0339683
302.7541944,365.2443097
317.8554352,345.4545455
335.7467066,322.3664519
356.8092488,299.9381722
383.835654,274.8711656
409.157935,255.0814013
436.1507693,238.5899663
463.5120026,219.4599102
504.7257784,201.6491646
541.3066641,185.1577296
577.0175713,172.6241207
628.3238433,154.8133751
671.8156317,145.5782011
724.9042364,135.0236108
779.8126417,125.1287287
836.3317453,114.5742441
894.2215797,107.3179831
956.119408,98.08280912
